d;omega;npp;sdmu;mu_a_bel;mu_b_bel;mu_a_brav;mu_b_brav;init_belligerence;init_bravery;time_step;mean_a_bel;mean_b_bel;mean_belligerence;mean_a_brav;mean_b_brav;mean_bravery;var_a_bel;var_b_bel;var_belligerence;var_a_brav;var_b_brav;var_bravery;n_escalated_contests;global_fecundity_total;file
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0583301;0;0.0583301;0.00348608;0;0.00348608;0.00622213;0;0.00622213;0.00382708;0;0.00382708;51;4998.74;./sim_stress_06_08_2023_17324826
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.110535;0;0.110535;0.0260292;0;0.0260292;0.006185;0;0.006185;0.00500627;0;0.00500627;111;4997.03;./sim_stress_06_08_2023_17324827
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.157363;0;0.157363;-0.0511858;0;-0.0511858;0.00289732;0;0.00289732;0.00454486;0;0.00454486;150;4993.84;./sim_stress_06_08_2023_17324829
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0743368;0;0.0743368;0.0993653;0;0.0993653;0.00640486;0;0.00640486;0.00673404;0;0.00673404;70;4995.66;./sim_stress_06_08_2023_17324828
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.119098;0;0.119098;0.027137;0;0.027137;0.00258915;0;0.00258915;0.00419823;0;0.00419823;122;4997.64;./sim_stress_06_08_2023_17324830
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0884732;0;0.0884732;0.0310948;0;0.0310948;0.00518485;0;0.00518485;0.0045584;0;0.0045584;87;4997.84;./sim_stress_06_08_2023_17324831
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.15411;0;0.15411;0.10939;0;0.10939;0.00182274;0;0.00182274;0.00362288;0;0.00362288;137;4994.04;./sim_stress_06_08_2023_17324832
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.087978;0;0.087978;0.0652343;0;0.0652343;0.00243055;0;0.00243055;0.00493145;0;0.00493145;83;4998.01;./sim_stress_06_08_2023_17324833
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.053019;0;0.053019;-0.0150213;0;-0.0150213;0.00725788;0;0.00725788;0.00384674;0;0.00384674;53;4998.33;./sim_stress_06_08_2023_17324834
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.122625;0;0.122625;0.120205;0;0.120205;0.0022086;0;0.0022086;0.00350324;0;0.00350324;137;4995.5;./sim_stress_06_08_2023_17324835
